日期時間,日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
2026-08-16 21:46:39,20260630,6770,0.0,82.3,77.6,78.9,220163758,17540081599,109218,0,0,220163758
2026-08-16 21:46:40,20260630,6770,82.95,83.55,77.8,79.7,195606000,15589798200,32831,103651000,91955000,195606000
2026-08-16 21:46:41,20260701,6770,0.0,80.4,77.8,79.7,197058093,15622246503,98515,0,0,197058093
2026-08-16 21:46:42,20260701,6770,74.4,74.6,74.3,74.3,261609000,19437548700,1298,163284000,98325000,261609000
2026-08-16 21:46:43,20260702,6770,0.0,75.8,70.3,74.7,155504558,11443165955,72557,0,0,155504558
2026-08-16 21:46:44,20260702,6770,0.0,75.8,70.3,74.7,155504558,11443165955,72557,69590000,84763000,155504558
2026-08-16 21:46:45,20260703,6770,0.0,75.8,70.3,74.7,155504558,11443165955,72557,0,0,155504558
2026-08-16 21:46:46,20260706,6770,0.0,75.1,72.1,73.4,101737426,7520216005,57505,0,0,101737426
2026-08-16 21:46:47,20260706,6770,73.45,73.8,72.5,72.6,152302000,11057125200,6508,90432000,61870000,152302000
2026-08-16 21:46:48,20260707,6770,0.0,77.4,72.5,72.6,153798168,11454973670,82394,0,0,153798168
2026-08-16 21:46:49,20260707,6770,70.0,70.4,69.8,70.1,159826000,11203802600,2975,80040000,79786000,159826000
2026-08-16 21:46:50,20260708,6770,0.0,74.3,69.7,70.1,161281480,11608838011,78693,0,0,161281480
2026-08-16 21:46:51,20260709,6770,0.0,71.5,67.1,71.2,139718171,9755632881,66974,0,0,139718171
2026-08-16 21:46:52,20260710,6770,71.5,74.3,70.9,71.1,156986667,11361862085,74897,0,0,156986667
2026-08-16 21:46:53,20260711,6770,71.5,74.3,70.9,71.1,156986667,11361862085,74897,0,0,156986667
2026-08-16 21:46:54,20260713,6770,71.5,74.3,70.9,71.1,156986667,11361862085,74897,0,0,156986667
2026-08-16 21:46:55,20260714,6770,72.4,73.0,68.1,69.0,117782988,8279438686,61742,0,0,117782988
2026-08-16 21:46:56,20260715,6770,69.0,70.4,63.4,69.2,175281346,11755010174,87745,0,0,175281346
2026-08-16 21:46:57,20260715,6770,69.0,70.4,63.4,69.2,175281346,11755010174,87745,13963000,181628001,175281346
2026-08-16 21:46:58,20260716,6770,74.0,76.1,73.8,76.1,197628288,14989053274,62264,0,0,197628288
2026-08-16 21:46:59,20260716,6770,74.0,76.1,73.8,76.1,197628288,14989053274,62264,86079000,100329002,197628288
2026-08-16 21:47:00,20260717,6770,74.9,79.5,74.8,76.5,446262954,34564580349,196675,0,0,446262954
2026-08-16 21:47:01,20260717,6770,74.9,79.5,74.8,76.5,446262954,34564580349,196675,171730000,89737000,446262954
2026-08-16 21:47:02,20260719,6770,72.4,73.4,68.9,68.9,273270140,19269894321,149376,0,0,273270140
2026-08-16 21:47:03,20260720,6770,72.4,73.4,68.9,68.9,273270140,19269894321,149376,0,0,273270140
2026-08-16 21:47:04,20260721,6770,68.3,68.3,62.2,63.0,179760556,11583911314,92837,0,0,179760556
2026-08-16 21:47:05,20260722,6770,64.0,65.1,63.0,65.1,126328180,8102265049,63816,0,0,126328180
2026-08-16 21:47:06,20260722,6770,68.3,68.6,67.8,67.8,126330610,581236,2467,63164090,63166520,126330610
2026-08-16 21:47:07,20260723,6770,67.8,69.6,67.1,67.9,169362718,11579825012,83094,0,0,169362718
2026-08-16 21:47:08,20260724,6770,62.05,62.1,61.6,61.7,113003004,709898,695,71191000,41812004,113003004
2026-08-16 21:47:09,20260728,6770,64.1,64.4,61.5,61.6,152851625,9560587986,79450,0,0,152851625
2026-08-16 21:47:10,20260803,6770,54.5,54.5,54.5,54.5,25422284,1385514126,10774,0,0,25422284
2026-08-16 21:47:11,20260804,6770,54.5,54.5,54.5,54.5,25422284,1385514126,10774,0,0,25422284
2026-08-16 21:47:12,20260805,6770,0.0,0.0,0.0,0.0,0,0,0,0,0,0
