日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,2610,19.6,19.5,19.15,19.5,47507592,919455459,11654,0,0,47507592
20260604,2610,19.95,20.15,19.8,19.9,45086926,901531053,11413,0,0,45086926
20260605,2610,19.95,20.15,19.65,19.95,49346438,985254272,10785,22176000,27016000,49346438
20260608,2610,0.0,20.15,19.65,19.95,49346438,985254272,10785,0,0,49346438
20260608,2610,19.0,19.0,19.0,19.0,59248000,1125712000,4378,31739000,27509000,59248000
20260609,2610,0.0,19.3,18.9,19.05,59519767,1134912473,14741,0,0,59519767
20260609,2610,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,2610,0.0,19.65,19.05,19.5,64733364,1261023382,8732,0,0,64733364
20260611,2610,0.0,19.85,19.45,19.55,40631382,798877263,9909,0,0,40631382
20260612,2610,0.0,19.65,19.25,19.45,39002241,759597143,8974,0,0,39002241
20260612,2610,20.45,20.45,20.4,20.4,78967001,1610926820,111,26976000,51991001,78967001
20260615,2610,0.0,20.7,19.8,20.4,79303652,1613910136,21959,0,0,79303652
20260615,2610,21.02,21.7,20.95,21.4,85491001,1829507421,7547,38467000,47024001,85491001
20260616,2610,0.0,21.7,20.95,21.4,85921129,1830312011,22666,0,0,85921129
20260616,2610,0.0,21.7,20.95,21.4,85921129,1830312011,22666,0,0,85921129
20260617,2610,0.0,21.5,20.95,21.2,58891339,1247826587,13861,0,0,58891339
20260617,2610,21.98,22.0,21.8,21.85,152296000,3327667600,1310,62804000,89492000,152296000
20260618,2610,0.0,22.35,21.1,21.85,152758333,3361849895,34063,0,0,152758333
20260622,2610,0.0,22.4,21.8,22.0,100065829,2208675260,18607,0,0,100065829
20260622,2610,21.98,22.0,21.25,21.8,56695000,1235951000,5936,30654000,26041000,56695000
20260623,2610,0.0,22.0,21.25,21.8,56950265,1230825157,16433,0,0,56950265
20260623,2610,21.93,22.6,21.75,22.4,53610000,1200864000,3766,14875000,38735000,68713907
20260624,2610,0.0,22.6,21.75,22.3,75213791,1671333367,20354,0,0,75213791
20260624,2610,22.43,23.6,22.25,23.25,145690000,3387292500,11497,46344000,99346000,145690000
20260625,2610,0.0,23.6,22.25,23.25,146260216,3375549758,36019,0,0,146260216
20260625,2610,24.32,24.5,24.1,24.2,139915000,3385943000,3738,60386000,79529000,139915000
20260626,2610,0.0,24.75,23.7,24.2,140540321,3410818825,37261,0,0,140540321
20260626,2610,24.27,24.27,23.1,23.2,73726000,1710443200,7268,48462000,25264000,73726000
20260629,2610,0.0,24.25,23.1,23.2,74193002,1755171902,21984,0,0,74193002
20260629,2610,23.7,23.75,23.65,23.75,4660007,110675166,15,2856000,1804007,347117957
20260630,2610,0.0,23.9,22.95,23.1,56663975,1319414810,15037,0,0,56663975
20260630,2610,23.55,23.7,22.9,23.7,78231000,1854074700,5449,33008000,45223000,78231000
20260701,2610,0.0,23.7,22.9,23.7,80188846,1873282221,16222,0,0,80188846
20260701,2610,22.38,22.55,22.3,22.55,99673000,2247626150,294,51529000,48144000,99673000
