日期時間,日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
2026-08-16 21:46:39,20260603,2609,53.9,55.0,52.9,53.6,71874958,3848040287,33841,0,0,71874958
2026-08-16 21:46:40,20260604,2609,54.1,54.4,52.7,53.2,54851079,2916124456,18432,0,0,54851079
2026-08-16 21:46:41,20260605,2609,53.8,55.2,53.3,54.5,78583004,4263327781,24827,44649000,33646000,78583004
2026-08-16 21:46:42,20260608,2609,0.0,55.2,53.3,54.5,78583004,4263327781,24827,0,0,78583004
2026-08-16 21:46:43,20260608,2609,52.0,52.0,51.0,52.0,66495000,3457740000,5124,44036000,22459000,66495000
2026-08-16 21:46:44,20260609,2609,0.0,52.6,51.1,51.7,66798155,3446290193,26027,0,0,66798155
2026-08-16 21:46:45,20260609,2609,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-08-16 21:46:46,20260610,2609,0.0,52.6,51.1,51.6,61977162,3198259063,18624,0,0,61977162
2026-08-16 21:46:47,20260611,2609,0.0,52.1,50.5,50.6,56863530,2897675562,20464,0,0,56863530
2026-08-16 21:46:48,20260612,2609,0.0,51.3,50.0,51.1,52461697,2657953224,16961,0,0,52461697
2026-08-16 21:46:49,20260612,2609,52.35,52.5,52.3,52.4,52461763,2748996381,47,26230848,26230915,52461763
2026-08-16 21:46:50,20260615,2609,0.0,53.3,51.4,52.4,30718280,1608767848,13833,0,0,30718280
2026-08-16 21:46:51,20260615,2609,53.85,53.85,51.2,51.2,42127684,2156937420,6634,26756000,15371684,42127684
2026-08-16 21:46:52,20260616,2609,0.0,53.7,51.2,51.2,39646266,2055803077,20648,0,0,39646266
2026-08-16 21:46:53,20260616,2609,0.0,53.7,51.2,51.2,39646266,2055803077,20648,0,0,39646266
2026-08-16 21:46:54,20260617,2609,0.0,51.7,50.2,51.0,32633400,1665899693,12593,0,0,32633400
2026-08-16 21:46:55,20260617,2609,51.45,51.7,51.3,51.6,34416000,1775865600,894,18143000,16273000,34416000
2026-08-16 21:46:56,20260618,2609,0.0,52.1,50.3,51.6,34556058,1782183173,11894,0,0,34556058
2026-08-16 21:46:57,20260622,2609,0.0,52.5,51.3,51.3,34519700,1783666359,12153,0,0,34519700
2026-08-16 21:46:58,20260622,2609,51.55,52.7,51.4,52.3,37796000,1976730800,6686,17850000,19946000,37796000
2026-08-16 21:46:59,20260623,2609,0.0,52.7,51.4,52.3,38001527,1987221436,16490,0,0,38001527
2026-08-16 21:47:00,20260623,2609,52.75,52.8,51.6,51.7,9493000,490788100,1962,6274000,3219000,13309810
2026-08-16 21:47:01,20260624,2609,0.0,52.8,51.2,51.3,19953550,1031102992,10891,0,0,19953550
2026-08-16 21:47:02,20260624,2609,51.75,52.1,51.2,51.6,15374000,793298400,2764,6951000,8423000,15374000
2026-08-16 21:47:03,20260625,2609,0.0,52.1,51.2,51.6,15479059,800117502,7504,0,0,15479059
2026-08-16 21:47:04,20260625,2609,51.5,52.0,51.3,51.4,11340000,582876000,1467,6473000,4867000,11340000
2026-08-16 21:47:05,20260626,2609,0.0,52.0,51.2,51.4,11437515,589712468,6335,0,0,11437515
2026-08-16 21:47:06,20260626,2609,51.35,51.4,50.1,50.1,23739000,1189323900,4649,15344000,8395000,23739000
