日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,2356,82.5,83.5,75.3,80.6,295984374,23756801389,163103,0,0,295984374
20260604,2356,84.6,85.8,77.8,77.8,138221092,11206629929,99566,0,0,138221092
20260605,2356,76.5,79.2,73.2,76.8,113333484,8668324319,67792,56366000,55635000,113333484
20260608,2356,0.0,79.2,73.2,76.8,113333484,8668324319,67792,0,0,113333484
20260608,2356,69.0,69.0,69.0,69.0,16097000,1110693000,5139,16097000,0,16097000
20260609,2356,0.0,69.2,69.2,69.2,17530602,1213125097,22236,0,0,17530602
20260609,2356,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,2356,0.0,70.9,67.4,70.6,95519340,6656740710,55267,0,0,95519340
20260611,2356,0.0,71.1,65.6,66.2,66829504,4549683495,47205,0,0,66829504
20260612,2356,0.0,66.4,63.6,65.4,45773835,2969651608,31004,0,0,45773835
20260612,2356,66.2,66.3,66.1,66.2,49000067,3243804435,160,26113000,22887067,49000067
20260615,2356,0.0,69.2,66.1,66.2,41497286,2797528855,28336,0,0,41497286
20260615,2356,67.35,72.75,66.8,67.1,33495001,2247514567,8228,19400000,14095001,33495001
20260616,2356,0.0,69.4,66.8,67.1,33928363,2292691934,23162,0,0,33928363
20260616,2356,0.0,69.4,66.8,67.1,33928363,2292691934,23162,0,0,33928363
20260617,2356,0.0,68.6,66.2,66.6,29287032,1962191023,20289,0,0,29287032
20260617,2356,66.65,67.5,66.6,67.5,18513000,1249627500,1062,8487000,10026000,18513000
20260618,2356,0.0,67.5,65.3,67.5,18859683,1257617351,15980,0,0,18859683
20260622,2356,0.0,68.6,67.0,67.7,38001921,2574042059,21741,0,0,38001921
20260622,2356,67.65,71.5,67.5,67.8,62503000,4237703400,14716,35698000,26805000,62503000
20260623,2356,0.0,71.5,67.5,67.8,63430817,4392711176,42069,0,0,63430817
20260623,2356,68.45,69.2,65.8,66.3,20771000,1377117300,5030,13476000,7295000,26627230
20260624,2356,0.0,69.2,65.8,66.1,32690688,2182907432,25009,0,0,32690688
20260624,2356,65.15,67.4,64.3,66.4,25220000,1674608000,5608,14657000,10563000,25220000
20260625,2356,0.0,67.4,64.3,66.4,25540512,1690390488,16533,0,0,25540512
20260625,2356,66.75,67.2,66.5,66.7,21192000,1413506400,2638,10506000,10686000,21192000
20260626,2356,0.0,67.3,66.1,66.7,21539478,1437772683,13556,0,0,21539478
20260626,2356,66.55,66.55,63.1,63.3,33779000,2138210700,7330,18902000,14877000,33779000
20260629,2356,0.0,66.3,63.1,63.3,34382022,2223833917,23888,0,0,34382022
20260629,2356,64.05,64.4,64.05,64.2,903000,57972600,15,290000,613000,67575789
20260630,2356,0.0,67.1,63.8,64.3,24364922,1585266833,15080,0,0,24364922
20260630,2356,69.35,70.65,65.8,66.6,37569000,2502095400,6988,17411000,20158000,37569000
20260701,2356,0.0,68.5,65.8,66.6,38142157,2567034754,21386,0,0,38142157
20260701,2356,67.15,67.2,66.9,66.9,38357000,2566083300,257,16730000,21627000,38357000
20260702,2356,0.0,68.3,65.6,67.2,24575492,1656297747,15413,0,0,24575492
20260702,2356,0.0,68.3,65.6,67.2,24575492,1656297747,15413,8329000,15993000,24575492
20260703,2356,0.0,68.3,65.6,67.2,24575492,1656297747,15413,0,0,24575492
20260706,2356,0.0,68.5,66.7,67.6,23294584,1579576902,15200,0,0,23294584
20260706,2356,68.0,68.1,67.2,67.2,25790000,1733088000,1710,12529000,13261000,25790000
20260707,2356,0.0,69.2,67.2,67.2,26058759,1776222165,16040,0,0,26058759
20260707,2356,65.85,66.0,65.4,65.4,25291000,1654031400,898,11327000,13964000,25291000
20260708,2356,0.0,68.2,65.4,65.4,25572333,1709017968,15614,0,0,25572333
20260709,2356,0.0,67.4,63.6,66.2,22956127,1501419398,13892,0,0,22956127
20260710,2356,69.0,72.8,67.9,69.8,143660934,10160418800,61986,0,0,143660934
20260711,2356,69.0,72.8,67.9,69.8,143660934,10160418800,61986,0,0,143660934
20260713,2356,69.0,72.8,67.9,69.8,143660934,10160418800,61986,0,0,143660934
20260714,2356,70.0,71.3,64.5,64.7,64016763,4301102819,47725,0,0,64016763
20260715,2356,65.0,65.3,60.9,63.7,38127603,2407952313,22076,0,0,38127603
20260715,2356,65.0,65.3,60.9,63.7,38127603,2407952313,22076,30949000,19063850,38127603
20260716,2356,61.5,62.1,60.4,61.1,44597756,2723911831,29645,0,0,44597756
20260716,2356,61.5,62.1,60.4,61.1,44597756,2723911831,29645,6246000,2552002,44597756
20260717,2356,61.0,61.7,59.3,60.7,31364816,1896958139,19768,0,0,31364816
20260717,2356,61.0,61.7,59.3,60.7,31364816,1896958139,19768,20294000,11273001,31364816
20260719,2356,59.6,61.2,58.4,58.5,43532534,2582137827,23668,0,0,43532534
20260720,2356,59.6,61.2,58.4,58.5,43532534,2582137827,23668,0,0,43532534
20260721,2356,59.1,61.1,56.9,57.2,33764507,1972412765,18582,0,0,33764507
20260722,2356,59.6,60.8,59.1,60.1,27293092,1638240346,13800,0,0,27293092
20260722,2356,62.05,62.3,61.6,61.9,14188001,88164,497,6853000,7335001,14188001
20260723,2356,60.5,63.2,60.4,61.7,36114702,2245662108,18103,0,0,36114702
20260724,2356,63.85,63.9,63.7,63.8,31962001,204613,46,18076000,13886001,43142848
20260728,2356,62.1,65.0,62.0,64.5,43641326,2796775134,23591,0,0,43641326
20260803,2356,63.2,63.2,60.4,61.8,29648411,1829111049,16827,0,0,29648411
20260804,2356,63.2,63.2,60.4,61.8,29648411,1829111049,16827,0,0,29648411
20260805,2356,0,0,0,0,0,0,0,0,0,0
