日期時間,日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
2026-08-16 21:46:39,20260702,4958,0.0,601.0,582.0,598.0,18905469,11205633594,37202,0,0,18905469
2026-08-16 21:46:40,20260702,4958,0.0,601.0,582.0,598.0,18905469,11205633594,37202,8929000,8912000,18905469
2026-08-16 21:46:41,20260703,4958,0.0,601.0,582.0,598.0,18905469,11205633594,37202,0,0,18905469
2026-08-16 21:46:42,20260706,4958,0.0,618.0,561.0,613.0,22484803,13301516366,34666,0,0,22484803
2026-08-16 21:46:43,20260706,4958,586.5,590.0,577.0,579.0,32178000,18631062000,1972,18208000,13970000,32179191
2026-08-16 21:46:44,20260707,4958,0.0,621.0,567.0,579.0,33883218,19983790003,62490,0,0,33883218
2026-08-16 21:46:45,20260707,4958,546.0,552.0,544.0,548.0,37721000,20671108000,1275,21172000,16549000,37721000
2026-08-16 21:46:46,20260708,4958,0.0,594.0,544.0,548.0,39380209,22206013011,67263,0,0,39380209
2026-08-16 21:46:47,20260709,4958,0.0,585.0,546.0,565.0,31313350,17670616502,37018,0,0,31313350
2026-08-16 21:46:48,20260710,4958,576.0,604.0,567.0,588.0,33492044,19698525306,37908,0,0,33492044
2026-08-16 21:46:49,20260711,4958,576.0,604.0,567.0,588.0,33492044,19698525306,37908,0,0,33492044
2026-08-16 21:46:50,20260713,4958,576.0,604.0,567.0,588.0,33492044,19698525306,37908,0,0,33492044
2026-08-16 21:46:51,20260714,4958,616.0,646.0,614.0,646.0,72309919,46207604908,91700,0,0,72309919
2026-08-16 21:46:52,20260715,4958,643.0,644.0,591.0,629.0,57818056,35687773970,68612,0,0,57818056
2026-08-16 21:46:53,20260715,4958,643.0,644.0,591.0,629.0,57818056,35687773970,68612,27237000,26249001,57818056
2026-08-16 21:46:54,20260716,4958,645.0,656.0,615.0,618.0,57171302,36430989850,69117,0,0,57171302
2026-08-16 21:46:55,20260716,4958,645.0,656.0,615.0,618.0,57171302,36430989850,69117,7718000,4385001,57171302
2026-08-16 21:46:56,20260717,4958,610.0,612.0,573.0,578.0,33390530,19590399548,59859,0,0,33390530
2026-08-16 21:46:57,20260717,4958,610.0,612.0,573.0,578.0,33390530,19590399548,59859,14072000,5515000,33390530
2026-08-16 21:46:58,20260719,4958,525.0,542.0,521.0,521.0,21751343,11452719387,52264,0,0,21751343
2026-08-16 21:46:59,20260720,4958,525.0,542.0,521.0,521.0,21751343,11452719387,52264,0,0,21751343
2026-08-16 21:47:00,20260721,4958,481.5,506.0,471.5,478.5,35909408,17470514128,47288,0,0,35909408
2026-08-16 21:47:01,20260722,4958,500.0,514.0,487.0,509.0,44056743,21974440010,45839,0,0,44056743
2026-08-16 21:47:02,20260722,4958,531.0,537.0,530.0,533.0,22299002,1176223,2322,11251000,11048002,22299002
2026-08-16 21:47:03,20260723,4958,530.0,559.0,514.0,559.0,46265315,24976092557,48664,0,0,46265315
2026-08-16 21:47:04,20260724,4958,489.0,489.0,488.0,488.0,25424001,1258174,121,14516000,10908001,34315167
2026-08-16 21:47:05,20260728,4958,500.0,510.0,478.0,482.0,33141967,16347350717,44262,0,0,33141967
2026-08-16 21:47:06,20260803,4958,413.5,413.5,407.0,413.5,15543203,6408729818,16492,0,0,15543203
2026-08-16 21:47:07,20260804,4958,413.5,413.5,407.0,413.5,15543203,6408729818,16492,0,0,15543203
2026-08-16 21:47:08,20260805,4958,0.0,0.0,0.0,0.0,0,0,0,0,0,0
