日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,2317,310.0,310.5,308.5,309.0,146108000,45147372000,757,57809000,88299000,146108000
20260604,2317,309.0,309.0,293.0,293.0,110760779,33140015179,146574,0,0,110760779
20260605,2317,290.5,292.5,278.0,284.5,93158859,26506350945,105075,53412000,35665000,93158859
20260608,2317,0.0,292.5,278.0,284.5,93158859,26506350945,105075,0,0,93158859
20260608,2317,265.0,272.0,261.0,270.0,112545000,30387150000,17114,55713000,56832000,112545000
20260609,2317,0.0,272.0,257.5,269.5,117863651,31298320100,126170,0,0,117863651
20260609,2317,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,2317,0.0,277.5,268.5,277.5,74649081,20371868977,69999,0,0,74649081
20260611,2317,0.0,274.0,262.5,263.0,93369272,25034494841,124841,0,0,93369272
20260612,2317,0.0,262.5,251.5,258.5,97550509,25053452346,102097,0,0,97550509
20260612,2317,260.75,261.0,260.5,260.5,97554275,25412888637,132,48775254,48779021,97554275
20260615,2317,0.0,269.0,260.0,260.5,60260948,15902363857,56015,0,0,60260948
20260615,2317,269.25,272.5,265.0,267.5,53428001,14291990267,9677,25112000,28316001,53428001
20260616,2317,0.0,272.5,265.0,267.5,54689024,14654327677,47325,0,0,54689024
20260616,2317,0.0,272.5,265.0,267.5,54689024,14654327677,47325,27344512,27344512,54689024
20260617,2317,0.0,271.0,265.5,269.0,56878574,15292916716,40470,0,0,56878574
20260617,2317,268.75,272.0,268.5,272.0,40736000,11080192000,5218,15403000,25333000,40740818
20260618,2317,0.0,272.0,264.0,272.0,42755242,11510771202,44766,0,0,42755242
20260622,2317,0.0,271.5,268.5,268.5,68996866,18605623168,53509,0,0,68996866
20260622,2317,268.25,275.5,267.25,268.5,63545000,17061832500,14646,33298000,30247000,63545000
20260623,2317,0.0,275.5,268.5,268.5,67145972,18191564426,62768,0,0,67145972
20260623,2317,270.25,270.5,261.0,262.5,46253000,12141412500,8540,31844000,14409000,64849778
20260624,2317,0.0,270.5,259.0,259.5,92063800,24189817018,112205,0,0,92063800
20260624,2317,253.75,261.0,253.75,256.0,59430000,15214080000,11437,38534000,20896000,59430000
20260625,2317,0.0,261.0,255.0,256.0,63690545,16380115615,67704,0,0,63690545
20260625,2317,260.25,261.0,257.5,257.5,41286000,10631145000,4834,22043000,19243000,41286000
20260626,2317,0.0,262.5,257.5,257.5,43578494,11325940448,40020,0,0,43578494
20260626,2317,255.75,255.75,248.0,248.5,75816000,18840276000,15062,52356000,23460000,75816000
