日期時間,日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
2026-08-16 21:46:39,20260609,9907,0.0,16.55,16.2,16.45,4160019,68286308,1653,0,0,4160019
2026-08-16 21:46:40,20260609,9907,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-08-16 21:46:41,20260610,9907,0.0,16.75,16.45,16.55,4503824,74873918,1881,0,0,4503824
2026-08-16 21:46:42,20260611,9907,0.0,16.8,16.55,16.7,3527906,58912512,1717,0,0,3527906
2026-08-16 21:46:43,20260612,9907,0.0,16.75,16.45,16.75,4380395,72529100,2179,0,0,4380395
2026-08-16 21:46:44,20260612,9907,16.75,16.75,16.7,16.7,3534001,59017816,10,1833000,1701001,3534001
2026-08-16 21:46:45,20260615,9907,0.0,16.85,16.7,16.7,3546813,59504445,1439,0,0,3546813
2026-08-16 21:46:46,20260615,9907,16.77,16.85,16.7,16.75,4344001,72762016,911,2018000,2326001,4344001
2026-08-16 21:46:47,20260616,9907,0.0,16.85,16.7,16.75,4369083,73295739,1816,0,0,4369083
2026-08-16 21:46:48,20260616,9907,0.0,16.85,16.7,16.75,4369083,73295739,1816,0,0,4369083
2026-08-16 21:46:49,20260617,9907,0.0,16.8,16.5,16.65,6997359,116416675,2553,0,0,6997359
2026-08-16 21:46:50,20260617,9907,16.57,16.7,16.55,16.65,8144000,135597600,351,3463000,4681000,8144000
2026-08-16 21:46:51,20260618,9907,0.0,16.7,16.4,16.65,8170460,135441515,2655,0,0,8170460
2026-08-16 21:46:52,20260622,9907,0.0,16.85,16.6,16.7,11090252,185479574,4119,0,0,11090252
2026-08-16 21:46:53,20260622,9907,15.43,15.88,15.4,15.5,9556000,148118000,2074,6491000,3065000,9556000
2026-08-16 21:46:54,20260623,9907,0.0,15.7,15.4,15.5,9624359,148893044,4499,0,0,9624359
2026-08-16 21:46:55,20260623,9907,15.53,15.55,15.2,15.2,4245000,64524000,824,3102000,1143000,7061345
2026-08-16 21:46:56,20260624,9907,0.0,15.55,15.15,15.15,7466515,113667473,4175,0,0,7466515
2026-08-16 21:46:57,20260624,9907,15.15,15.2,15.0,15.05,6948000,104567400,1480,5203000,1745000,6948000
2026-08-16 21:46:58,20260625,9907,0.0,15.2,15.0,15.05,6997263,105618698,3143,0,0,6997263
2026-08-16 21:46:59,20260625,9907,15.4,15.5,15.3,15.4,7546000,116208400,2566,5531000,2015000,7546000
2026-08-16 21:47:00,20260626,9907,0.0,15.5,15.1,15.4,7566363,116289668,4637,0,0,7566363
2026-08-16 21:47:01,20260626,9907,15.28,15.45,14.9,14.95,9287000,138840650,5163,7237000,2050000,9287000
2026-08-16 21:47:02,20260629,9907,0.0,15.45,14.9,14.95,9358452,140534582,6842,0,0,9358452
2026-08-16 21:47:03,20260630,9907,0.0,15.2,14.95,15.2,4608973,69599849,1802,0,0,4608973
2026-08-16 21:47:04,20260630,9907,15.18,15.3,15.0,15.15,6776000,102656400,1270,4262000,2514000,6776383
2026-08-16 21:47:05,20260701,9907,0.0,15.3,15.0,15.15,6881257,103871346,2607,0,0,6881257
2026-08-16 21:47:06,20260701,9907,15.45,15.5,15.45,15.45,8673000,133997850,17,3387000,5286000,8673000
2026-08-16 21:47:07,20260702,9907,0.0,15.35,15.15,15.15,2875289,43712892,1626,0,0,2875289
2026-08-16 21:47:08,20260702,9907,0.0,15.35,15.15,15.15,2875289,43712892,1626,1635000,1212000,2875289
2026-08-16 21:47:09,20260703,9907,0.0,15.35,15.15,15.15,2875289,43712892,1626,0,0,2875289
2026-08-16 21:47:10,20260706,9907,0.0,15.65,15.1,15.55,5187861,80295909,1710,0,0,5187861
2026-08-16 21:47:11,20260706,9907,15.53,15.55,15.4,15.4,3060000,47124000,195,2017000,1043000,3060000
2026-08-16 21:47:12,20260707,9907,0.0,15.65,15.4,15.4,3075059,47710717,1193,0,0,3075059
2026-08-16 21:47:13,20260707,9907,15.38,15.4,15.3,15.4,3028000,46631200,95,1769000,1259000,3028000
2026-08-16 21:47:14,20260708,9907,0.0,15.5,15.25,15.4,3038459,46694721,1181,0,0,3038459
2026-08-16 21:47:15,20260709,9907,0.0,15.5,15.15,15.3,3461173,52875328,1466,0,0,3461173
2026-08-16 21:47:16,20260714,9907,15.25,15.25,15.1,15.2,4161357,63171770,1267,0,0,4161357
2026-08-16 21:47:17,20260715,9907,15.3,15.3,15.0,15.2,4027468,60859337,1246,0,0,4027468
2026-08-16 21:47:18,20260715,9907,15.3,15.3,15.0,15.2,4027468,60859337,1246,1573000,2721002,4027468
2026-08-16 21:47:19,20260716,9907,15.1,15.35,15.1,15.3,4420940,67185513,1145,0,0,4420940
2026-08-16 21:47:20,20260716,9907,15.1,15.35,15.1,15.3,4420940,67185513,1145,0,0,4420940
2026-08-16 21:47:21,20260717,9907,15.3,15.4,15.2,15.3,3972922,60714952,1274,0,0,3972922
2026-08-16 21:47:22,20260717,9907,15.3,15.4,15.2,15.3,3972922,60714952,1274,3367000,1508069,3972922
2026-08-16 21:47:23,20260719,9907,15.3,15.3,15.0,15.1,5724440,86401810,2174,0,0,5724440
2026-08-16 21:47:24,20260720,9907,15.3,15.3,15.0,15.1,5724440,86401810,2174,0,0,5724440
2026-08-16 21:47:25,20260721,9907,15.2,15.3,14.9,15.1,4953487,74642684,2090,0,0,4953487
2026-08-16 21:47:26,20260722,9907,15.1,15.4,15.1,15.35,4068128,62226798,1164,0,0,4068128
2026-08-16 21:47:27,20260722,9907,15.28,15.3,15.25,15.25,736006,1128,18,565000,171006,736006
2026-08-16 21:47:28,20260723,9907,15.35,15.4,15.15,15.15,2985467,45460900,1327,0,0,2985467
2026-08-16 21:47:29,20260724,9907,15.07,15.07,15.07,15.07,0,0,0,0,0,2171314
2026-08-16 21:47:30,20260728,9907,15.05,15.15,15.05,15.15,2385456,36004084,998,0,0,2385456
2026-08-16 21:47:31,20260803,9907,15.25,15.5,15.0,15.0,6829678,103946088,2811,0,0,6829678
