日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260702,2337,0.0,146.0,135.0,145.5,71136879,10089935630,53635,0,0,71136879
20260702,2337,0.0,146.0,135.0,145.5,71136879,10089935630,53635,30665000,38908000,71136879
20260703,2337,0.0,146.0,135.0,145.5,71136879,10089935630,53635,0,0,71136879
20260706,2337,0.0,147.0,140.5,142.5,52691353,7580877398,44228,0,0,52691353
20260706,2337,145.25,146.0,144.0,144.5,62380000,9013910000,3150,31961000,30419000,62380000
20260707,2337,0.0,152.0,144.0,144.5,63898046,9415382927,50558,0,0,63898046
20260707,2337,138.0,139.0,137.5,139.0,64300000,8937700000,1515,38552000,25748000,64300000
20260708,2337,0.0,146.0,136.5,139.0,65871425,9251251532,50590,0,0,65871425
20260709,2337,0.0,143.0,134.0,138.5,53267720,7344118389,35554,0,0,53267720
20260709,2337,0.0,143.0,134.0,138.5,53267720,7344118389,35554,0,0,53267720
20260710,2337,141.5,148.0,139.5,143.5,62991541,9079835109,40743,0,0,62991541
20260711,2337,141.5,148.0,139.5,143.5,62991541,9079835109,40743,0,0,62991541
20260713,2337,141.5,148.0,139.5,143.5,62991541,9079835109,40743,0,0,62991541
20260714,2337,146.0,147.0,138.0,138.0,51524844,7332212634,33503,0,0,51524844
20260715,2337,140.5,143.0,130.5,139.5,67740693,9305083086,45161,0,0,67740693
20260715,2337,140.5,143.0,130.5,139.5,67740693,9305083086,45161,45281000,60805007,67740693
20260716,2337,144.5,150.5,144.0,148.5,110280005,16320493793,67559,0,0,110280005
20260716,2337,144.5,150.5,144.0,148.5,110280005,16320493793,67559,16587000,8978001,110280005
20260717,2337,143.5,144.0,136.0,136.5,72299473,10035719449,59324,0,0,72299473
20260717,2337,143.5,144.0,136.0,136.5,72299473,10035719449,59324,33327000,22036004,72299473
20260719,2337,127.0,129.5,124.0,125.0,68546901,8645455626,50275,0,0,68546901
20260720,2337,127.0,129.5,124.0,125.0,68546901,8645455626,50275,0,0,68546901
20260721,2337,126.0,127.0,115.5,117.5,71475589,8542824697,39417,0,0,71475589
20260722,2337,120.5,123.5,118.0,123.0,45753444,5546563669,24729,0,0,45753444
20260722,2337,135.0,135.0,135.0,135.0,46297002,622527,261,7969000,38328002,46297002
20260723,2337,129.5,135.0,129.5,135.0,54882537,7384301758,23751,0,0,54882537
20260724,2337,124.75,125.0,124.5,124.5,29217004,372168,69,18095000,11122004,39342643
20260728,2337,126.5,131.0,123.5,124.0,39475036,4995899408,28063,0,0,39475036
20260803,2337,100.5,100.5,100.5,100.5,11523756,1158137187,6088,0,0,11523756
20260804,2337,100.5,100.5,100.5,100.5,11523756,1158137187,6088,0,0,11523756
20260805,2337,0,0,0,0,0,0,0,0,0,0
