日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,2330,2422.5,2430.0,2420.0,2425.0,22443000,54420275000,285,11321000,11122000,22443000
20260604,2330,2385.0,2415.0,2385.0,2385.0,32542948,77931338144,196886,0,0,32542948
20260605,2330,2395.0,2405.0,2350.0,2365.0,43403895,102970368110,364351,17882000,14686000,43403895
20260608,2330,0.0,2405.0,2350.0,2365.0,43403895,102970368110,364351,0,0,43403895
20260608,2330,2288.0,2320.0,2270.0,2295.0,44279000,101620305000,9179,25221000,19058000,44279000
20260609,2330,0.0,2320.0,2230.0,2295.0,52273858,119557290165,436256,0,0,52273858
20260609,2330,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,2330,0.0,2320.0,2295.0,2305.0,38847544,89604249837,156384,0,0,38847544
20260611,2330,0.0,2300.0,2255.0,2255.0,54194021,123146622990,510491,0,0,54194021
20260612,2330,0.0,2260.0,2210.0,2250.0,46417523,104091484739,320151,0,0,46417523
20260612,2330,2297.5,2310.0,2290.0,2310.0,46421346,107233309260,65,23208761,23212585,46421346
20260615,2330,0.0,2325.0,2290.0,2310.0,26306885,60666936905,77219,0,0,26306885
20260615,2330,2347.5,2375.0,2345.0,2375.0,25414812,60360178500,6173,7545000,17869812,25414812
20260616,2330,0.0,2375.0,2345.0,2375.0,30228535,71454258620,96307,0,0,30228535
20260616,2330,0.0,2375.0,2345.0,2375.0,30228535,71454258620,96307,0,0,30228535
20260617,2330,0.0,2400.0,2350.0,2400.0,37145708,88421095704,99659,0,0,37145708
20260617,2330,2362.5,2385.0,2360.0,2385.0,25400000,60579000000,2882,16303000,9097000,25400000
20260618,2330,0.0,2385.0,2350.0,2385.0,30059393,71151958866,143625,0,0,30059393
20260622,2330,0.0,2415.0,2385.0,2410.0,49982610,120198889493,103190,0,0,49982610
20260622,2330,2422.5,2510.0,2417.5,2510.0,39077000,98083270000,10146,14013000,25064000,39077000
20260623,2330,0.0,2510.0,2455.0,2510.0,45207883,112735082698,159770,0,0,45207883
20260623,2330,2502.5,2535.0,2500.0,2510.0,16618000,41711180000,4226,6403000,10215000,21298381
20260624,2330,0.0,2535.0,2490.0,2490.0,39537895,99064704659,148609,0,0,39537895
20260624,2330,2427.5,2445.0,2390.0,2390.0,55544000,132750160000,13531,42410000,13134000,55544000
20260625,2330,0.0,2445.0,2390.0,2390.0,67304477,162505741547,527599,0,0,67304477
20260625,2330,2402.5,2420.0,2390.0,2390.0,34271000,81907690000,3288,21166000,13105000,34271000
20260626,2330,0.0,2420.0,2390.0,2390.0,41099957,98673938497,132387,0,0,41099957
20260626,2330,2357.5,2370.0,2325.0,2340.0,39059000,91398060000,8598,21773000,17286000,39059000
20260629,2330,0.0,2370.0,2325.0,2340.0,53800344,126177715258,464927,0,0,53800344
20260629,2330,2360.0,2360.0,2355.0,2355.0,5060000,11916300000,14,338000,4722000,380726582
20260630,2330,0.0,2395.0,2330.0,2370.0,38133782,90337385683,93276,0,0,38133782
20260630,2330,2447.5,2475.0,2410.0,2410.0,42817000,103188970000,6191,30764000,12053000,42817000
20260701,2330,0.0,2475.0,2410.0,2410.0,49540227,120516271220,104582,0,0,49540227
20260701,2330,2490.0,2505.0,2485.0,2505.0,30361000,76054305000,543,7248000,23113000,30361000
20260702,2330,0.0,2480.0,2445.0,2465.0,35919290,88369879773,132697,0,0,35919290
20260702,2330,0.0,2480.0,2445.0,2465.0,35919290,88369879773,132697,18457000,8683000,35919290
20260703,2330,0.0,2480.0,2445.0,2465.0,35919290,88369879773,132697,0,0,35919290
20260706,2330,0.0,2465.0,2415.0,2445.0,32905868,80082636340,154750,0,0,32905868
20260706,2330,2477.5,2485.0,2460.0,2460.0,19209000,47254140000,1311,11774000,7435000,19209000
20260707,2330,0.0,2500.0,2455.0,2460.0,21041918,52022654454,80246,0,0,21041918
20260707,2330,2457.5,2460.0,2440.0,2440.0,27734000,67670960000,1168,17028000,10706000,27734000
20260708,2330,0.0,2500.0,2440.0,2440.0,31400854,77617188273,132943,0,0,31400854
20260709,2330,0.0,2465.0,2420.0,2465.0,25519599,62400639776,94688,0,0,25519599
20260710,2330,2450.0,2460.0,2415.0,2415.0,34681018,84397735035,201698,0,0,34681018
20260711,2330,2450.0,2460.0,2415.0,2415.0,34681018,84397735035,201698,0,0,34681018
20260713,2330,2450.0,2460.0,2415.0,2415.0,34681018,84397735035,201698,0,0,34681018
20260714,2330,2460.0,2480.0,2440.0,2440.0,35310380,86697387632,94215,0,0,35310380
20260715,2330,2410.0,2430.0,2390.0,2420.0,42857055,103370532441,275423,0,0,42857055
20260715,2330,2410.0,2430.0,2390.0,2420.0,42857055,103370532441,275423,10222000,10589008,42857055
20260716,2330,2425.0,2460.0,2415.0,2440.0,33665566,82213791038,79059,0,0,33665566
20260716,2330,2425.0,2460.0,2415.0,2440.0,33665566,82213791038,79059,4936000,1432001,33665566
20260717,2330,2430.0,2470.0,2420.0,2470.0,30538604,74750491934,97957,0,0,30538604
20260717,2330,2430.0,2470.0,2420.0,2470.0,30538604,74750491934,97957,36815000,17508001,30538604
20260719,2330,2375.0,2395.0,2290.0,2290.0,97362670,229051751965,1150086,0,0,97362670
20260720,2330,2375.0,2395.0,2290.0,2290.0,97362670,229051751965,1150086,0,0,97362670
20260721,2330,2300.0,2345.0,2300.0,2320.0,55790346,129815956839,188463,0,0,55790346
20260722,2330,2350.0,2410.0,2345.0,2410.0,31605663,75429747048,88066,0,0,31605663
20260722,2330,2412.5,2415.0,2400.0,2400.0,10179002,2466453,540,7292000,2887002,10179002
20260723,2330,2440.0,2445.0,2385.0,2400.0,31653123,76206482625,136194,0,0,31653123
20260724,2330,2352.5,2355.0,2350.0,2350.0,66572455441,2998129,56,33286227712,33286227729,66572455441
20260728,2330,2355.0,2365.0,2345.0,2350.0,24810509,58407263735,195859,0,0,24810509
20260803,2330,2350.0,2425.0,2345.0,2425.0,69478145,166661984712,215037,0,0,69478145
20260804,2330,2350.0,2425.0,2345.0,2425.0,69478145,166661984712,215037,0,0,69478145
20260805,2330,0,0,0,0,0,0,0,0,0,0
