日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,2344,188.0,184.5,171.5,184.5,270430116,49294630283,98199,0,0,270430116
20260604,2344,175.0,188.0,175.0,179.5,227016133,41267028902,140203,0,0,227016133
20260605,2344,169.0,172.5,162.0,162.0,228440187,37434581948,170132,156178000,67185000,228440187
20260608,2344,0.0,172.5,162.0,162.0,228440187,37434581948,170132,0,0,228440187
20260608,2344,149.0,157.0,146.0,154.0,177355000,27312670000,22283,96032000,81323000,177355000
20260609,2344,0.0,157.0,146.0,154.0,179964848,27112929399,105139,0,0,179964848
20260609,2344,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,2344,0.0,161.0,153.5,156.5,203232684,31874303678,121295,0,0,203232684
20260611,2344,0.0,163.5,148.0,149.0,185310442,28921631822,112582,0,0,185310442
20260612,2344,0.0,162.5,149.0,156.5,237289830,36970883270,135637,0,0,237289830
20260612,2344,10.0,10.0,172.0,172.0,263699488,45356311936,92,118644915,145054573,263699488
20260615,2344,0.0,172.0,166.0,172.0,213495727,36419205477,119733,0,0,213495727
20260615,2344,184.75,189.0,175.0,189.0,226359269,42781901841,36102,72220000,154139269,226359269
20260616,2344,0.0,189.0,175.0,189.0,229481900,42292264163,128045,0,0,229481900
20260616,2344,0.0,189.0,175.0,189.0,229481900,42292264163,128045,0,0,229481900
20260617,2344,0.0,201.0,191.5,197.0,355003301,69881486603,221912,0,0,355003301
20260617,2344,192.75,199.0,192.0,199.0,222993000,44375607000,6449,115723000,107270000,222993000
20260618,2344,0.0,199.0,186.5,199.0,226916174,43878001512,176031,0,0,226916174
20260622,2344,0.0,218.5,201.5,218.5,338003801,71264800231,208879,0,0,338003801
20260622,2344,239.75,239.75,219.0,222.0,398033000,88363326000,74764,175977000,222056000,398033000
20260623,2344,0.0,233.5,219.0,222.0,403194761,91397720609,251693,0,0,403194761
20260623,2344,221.25,222.0,209.5,211.5,153377005,32439236557,30338,87121000,66256005,215044414
20260624,2344,0.0,222.0,205.5,211.5,263314980,56076307281,179360,0,0,263314980
20260624,2344,206.25,217.0,201.0,205.0,246154000,50461570000,47419,102418000,143736000,246154000
20260625,2344,0.0,217.0,201.0,205.0,253065352,52451833408,161064,0,0,253065352
20260625,2344,216.25,219.5,215.0,219.5,224641000,49308699500,10910,94485000,130156000,224641000
20260626,2344,0.0,222.5,211.0,219.5,227328719,49485930827,130341,0,0,227328719
20260626,2344,220.25,225.0,203.0,206.5,250603000,51749519500,51099,131325000,119278000,250603000
20260629,2344,0.0,225.0,203.0,206.5,254263166,54355361498,175035,0,0,254263166
20260629,2344,203.0,203.5,202.5,203.0,9448003,1917944609,76,5488000,3960003,689953127
20260630,2344,0.0,212.5,201.0,203.0,149900066,30988309944,98776,0,0,149900066
20260630,2344,208.75,210.5,197.5,207.5,214412000,44490490000,50416,101189000,113223000,214412000
20260701,2344,0.0,210.5,197.5,207.5,217328346,44364259852,152824,0,0,217328346
20260701,2344,191.0,191.5,190.0,190.0,226051000,42949690000,1747,144597000,81454000,226051000
20260702,2344,0.0,186.0,176.0,183.5,164178951,29897827806,121841,0,0,164178951
20260702,2344,0.0,186.0,176.0,183.5,164178951,29897827806,121841,81927000,78774000,164178951
20260703,2344,0.0,186.0,176.0,183.5,164178951,29897827806,121841,0,0,164178951
20260706,2344,0.0,188.0,177.0,184.5,141900944,26117792095,103472,0,0,141900944
20260706,2344,186.75,187.5,183.0,183.0,160918000,29447994000,6179,85292000,75626000,160928750
20260707,2344,0.0,200.0,183.0,183.0,163686093,31253105406,122012,0,0,163686093
20260707,2344,173.75,175.0,173.0,174.0,139031000,24191394000,2894,83316000,55715000,139031000
20260708,2344,0.0,186.0,172.0,174.0,142095545,25453708516,138392,0,0,142095545
20260709,2344,0.0,181.5,165.0,168.5,146196884,24801801543,101579,0,0,146196884
20260710,2344,173.5,184.0,170.0,176.5,160890217,28681886506,103311,0,0,160890217
20260711,2344,173.5,184.0,170.0,176.5,160890217,28681886506,103311,0,0,160890217
20260713,2344,173.5,184.0,170.0,176.5,160890217,28681886506,103311,0,0,160890217
20260714,2344,181.5,183.0,166.0,167.0,149251061,25896358310,100810,0,0,149251061
20260715,2344,170.0,172.5,156.0,164.5,135442057,22169142474,91344,0,0,135442057
20260715,2344,170.0,172.5,156.0,164.5,135442057,22169142474,91344,12199000,81499004,135442057
20260716,2344,175.5,180.5,173.5,180.5,95140846,17086087602,44000,0,0,95140846
20260716,2344,175.5,180.5,173.5,180.5,95140846,17086087602,44000,37414000,25845001,95140846
20260717,2344,176.0,180.5,171.0,172.0,150613446,26301621215,92290,0,0,150613446
20260717,2344,176.0,180.5,171.0,172.0,150613446,26301621215,92290,69912000,31711000,150613446
20260719,2344,159.5,162.5,155.0,155.0,110525648,17318240534,97557,0,0,110525648
20260720,2344,159.5,162.5,155.0,155.0,110525648,17318240534,97557,0,0,110525648
20260721,2344,155.0,157.0,146.0,151.0,107223362,16338516837,66701,0,0,107223362
20260722,2344,156.0,158.0,152.0,155.5,104783854,16290227265,60940,0,0,104783854
20260722,2344,171.0,171.0,171.0,171.0,85301003,1443482,1130,19447000,65854003,85301003
20260723,2344,165.0,171.0,164.5,171.0,97387194,16500992930,50887,0,0,97387194
20260724,2344,155.5,156.0,155.0,155.5,95757008,1530305,354,54022000,41735008,95757008
20260728,2344,158.5,164.0,153.5,154.5,135375417,21437572271,81279,0,0,135375417
20260803,2344,130.0,130.0,130.0,130.0,21043331,2735633030,7261,0,0,21043331
20260804,2344,130.0,130.0,130.0,130.0,21043331,2735633030,7261,0,0,21043331
20260805,2344,0,0,0,0,0,0,0,0,0,0
