日期時間,日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
2026-08-16 21:47:35,20260719,6412,82.0,82.7,78.7,78.9,1759405,141278485,1928,0,0,1759405
2026-08-16 21:47:36,20260720,6412,82.0,82.7,78.7,78.9,1759405,141278485,1928,0,0,1759405
2026-08-16 21:47:37,20260721,6412,79.5,81.9,78.3,80.2,1081693,86683894,989,0,0,1081693
2026-08-16 21:47:38,20260722,6412,80.7,82.1,80.1,81.7,840848,68011348,707,0,0,840848
2026-08-16 21:47:39,20260722,6412,82.65,82.7,82.1,82.2,233002,1928,39,125000,108002,233002
2026-08-16 21:47:40,20260723,6412,82.0,83.5,81.6,82.2,778378,64117073,770,0,0,778378
2026-08-16 21:47:41,20260724,6412,81.2,81.3,81.1,81.1,343001,2785,7,203000,140001,464649
2026-08-16 21:47:42,20260728,6412,81.0,82.1,80.7,81.3,507108,41175134,603,0,0,507108
2026-08-16 21:47:43,20260803,6412,77.9,79.5,76.5,76.5,1867799,145078726,1390,0,0,1867799
2026-08-16 21:47:44,20260804,6412,77.9,79.5,76.5,76.5,1867799,145078726,1390,0,0,1867799
2026-08-16 21:47:45,20260805,6412,0.0,0.0,0.0,0.0,0,0,0,0,0,0
